frame.time,ip.src,ip.dst,udp.srcport,udp.dstport,dns.qry.name,dns.qry.type,dns.flags.response
"Apr 10, 2025 22:36:53.372425000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,api-global.netflix.com,28,FALSE
"Apr 10, 2025 22:36:53.372425000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,secure.netflix.com,1,FALSE
"Apr 10, 2025 22:36:53.372425000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,secure.netflix.com,1,FALSE
"Apr 10, 2025 22:36:53.372425000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,secure.netflix.com,28,FALSE
"Apr 10, 2025 22:36:53.372425000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,secure.netflix.com,28,FALSE
"Apr 10, 2025 22:36:53.372425000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,uiboot.netflix.com,1,FALSE
"Apr 10, 2025 22:36:53.372425000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,uiboot.netflix.com,1,FALSE
"Apr 10, 2025 22:36:53.372425000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,uiboot.netflix.com,28,FALSE
"Apr 10, 2025 22:36:53.372425000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,uiboot.netflix.com,28,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,customerevents.netflix.com,1,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,customerevents.netflix.com,1,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,customerevents.netflix.com,28,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,customerevents.netflix.com,28,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,ichnaea.netflix.com,1,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,ichnaea.netflix.com,1,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,ichnaea.netflix.com,28,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,ichnaea.netflix.com,28,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,cdn-0.nflximg.com,1,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,cdn-0.nflximg.com,1,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,cdn-0.nflximg.com,28,FALSE
"Apr 10, 2025 22:36:53.373082000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,cdn-0.nflximg.com,28,FALSE
"Apr 10, 2025 22:36:53.373453000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,nrdp-cell4.prod.ftl.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.374289000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,api-global.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.374377000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,api-global.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.374655000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,secure.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.374750000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,secure.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.375835000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,customerevents.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.376192000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,customerevents.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.405075000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,nrdp51-appboot.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.411645000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,nrdp51-appboot.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.422651000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,ichnaea.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.423213000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,nrdp.prod.cloud.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.423495000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,cdn-0.nflximg.com,28,TRUE
"Apr 10, 2025 22:36:53.439995000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,uiboot.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.440053000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,nrdp-cell4.prod.ftl.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.440089000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,nrdp.prod.cloud.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.440123000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,customerevents.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.440158000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,uiboot.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.440192000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,nrdp.nccp.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.440225000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,nrdp-cell4.prod.ftl.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.440260000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,secure.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.440295000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,api-global.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.440328000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,nrdp.prod.cloud.netflix.com,1,TRUE
